Unnamed: 0,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId,Theme
0,005930,KR7005930003,삼성전자,KOSPI,,219000,1,4500,2.1,218000,220000,216000,16752132,3656410642186,1280335015152000,5846278608,STK,기타
1,000660,KR7000660001,SK하이닉스,KOSPI,,1224000,1,58000,4.97,1196000,1228000,1193000,3516960,4275047284191,872347694760000,712702365,STK,기타
2,005935,KR7005931001,삼성전자우,KOSPI,,150400,1,4000,2.73,148400,151000,148300,2810199,422051783950,120676628931200,802371203,STK,기타
3,373220,KR7373220003,LG에너지솔루션,KOSPI,,478000,1,49000,11.42,441500,478000,434000,1363543,636131092500,111852000000000,234000000,STK,기타
4,005380,KR7005380001,현대차,KOSPI,,546000,1,19000,3.61,534000,548000,530000,946609,511279812500,111797740236000,204757766,STK,기타
5,402340,KR7402340004,SK스퀘어,KOSPI,,718000,1,17000,2.43,714000,727000,704000,463466,332265309500,94746121148000,131958386,STK,기타
6,034020,KR7034020008,두산에너빌리티,KOSPI,,115700,1,4700,4.23,113500,116400,112600,4773848,547693745650,74112924592200,640561146,STK,기타
7,207940,KR7207940008,삼성바이오로직스,KOSPI,,1588000,2,-17000,-1.06,1607000,1608000,1585000,47766,76167660500,73510030188000,46290951,STK,기타
8,012450,KR7012450003,한화에어로스페이스,KOSPI,,1391000,2,-34000,-2.39,1427000,1434000,1390000,162137,227528698500,71724690791000,51563401,STK,기타
9,000270,KR7000270009,기아,KOSPI,,160000,1,2600,1.65,158200,160500,157700,758081,120778479350,62466079680000,390412998,STK,기타
10,329180,KR7329180004,HD현대중공업,KOSPI,,576000,1,52000,9.92,532000,578000,529000,768569,427880990740,60457665600000,104961225,STK,기타
11,105560,KR7105560007,KB금융,KOSPI,,160400,2,-500,-0.31,161200,162100,159600,594032,95276385700,59805212982000,372850455,STK,기타
12,009150,KR7009150004,삼성전기,KOSPI,,772000,1,92000,13.53,687000,779000,686000,1092504,815734338000,57663533312000,74693696,STK,기타
13,006400,KR7006400006,삼성SDI,KOSPI,,645000,1,107000,19.89,570000,648000,557000,2533682,1552350939500,51977666850000,80585530,STK,기타
14,032830,KR7032830002,삼성생명,KOSPI,,256000,1,2500,0.99,254000,259000,252750,208078,53102219250,51200000000000,200000000,STK,기타
15,028260,KR7028260008,삼성물산,KOSPI,,304000,1,4000,1.33,302000,306000,300000,311495,94330615070,49299370224000,162168981,STK,기타
16,055550,KR7055550008,신한지주,KOSPI,,99800,2,-200,-0.2,100000,100500,99200,574865,57366507000,47370505227800,474654361,STK,기타
17,068270,KR7068270008,셀트리온,KOSPI,,203000,2,-2500,-1.22,206500,208000,202000,446662,90987029000,45053466983000,221938261,STK,기타
18,012330,KR7012330007,현대모비스,KOSPI,,447000,1,27000,6.43,427000,452000,424500,330317,146134604250,40557464601000,90732583,STK,기타
19,042660,KR7042660001,한화오션,KOSPI,,131200,1,2500,1.94,129500,131200,128400,1915814,248852581250,40201437292800,306413394,STK,기타
20,006800,KR7006800007,미래에셋증권,KOSPI,,68800,2,-200,-0.29,69900,70200,68000,2185006,150290860400,38205768870400,555316408,STK,기타
21,267260,KR7267260008,HD현대일렉트릭,KOSPI,,1058000,2,-29000,-2.67,1088000,1108000,1046000,197856,210447921000,38137868830000,36047135,STK,기타
22,010130,KR7010130003,고려아연,KOSPI,,1670000,1,5000,0.3,1680000,1692000,1661000,16046,26881769000,34857858230000,20872969,STK,기타
23,086790,KR7086790003,하나금융지주,KOSPI,,123000,1,300,0.24,127400,127400,122700,542994,67268088000,34234075122000,278325814,STK,기타
24,035420,KR7035420009,NAVER,KOSPI,,214000,1,500,0.23,215000,215500,211500,545889,116462158250,33566464532000,156852638,STK,기타
25,005490,KR7005490008,POSCO홀딩스,KOSPI,,421500,1,32000,8.22,398000,422000,396000,1024414,424108760250,33400303630500,79241527,STK,기타
26,009540,KR7009540006,HD한국조선해양,KOSPI,,427500,1,14500,3.51,413500,430000,412500,221491,93849649477,30255507090000,70773116,STK,기타
27,015760,KR7015760002,한국전력,KOSPI,,46000,2,-100,-0.22,46250,46650,45600,1664024,76693963025,29530347542000,641964077,STK,기타
28,042700,KR7042700005,한미반도체,KOSPI,,295000,1,8000,2.79,287500,295000,287500,496193,144908334500,28117099000000,95312200,STK,기타
29,034730,KR7034730002,SK,KOSPI,,386500,1,9500,2.52,380000,386500,379500,138852,53259609250,28022294709500,72502703,STK,기타
30,298040,KR7298040007,효성중공업,KOSPI,,3002000,2,-8000,-0.27,3019000,3088000,2990000,35605,107477330000,27992293096000,9324548,STK,기타
31,010120,KR7010120004,LS ELECTRIC,KOSPI,,184700,1,500,0.27,185500,186800,182600,790569,145696329400,27705000000000,150000000,STK,기타
32,051910,KR7051910008,LG화학,KOSPI,,389500,1,24000,6.57,374000,390000,371000,449161,173245734750,27495717598500,70592343,STK,기타
33,010140,KR7010140002,삼성중공업,KOSPI,,30200,1,1650,5.78,28750,30450,28650,7744560,230136459025,26576000000000,880000000,STK,기타
34,316140,KR7316140003,우리금융지주,KOSPI,,35800,1,50,0.14,36000,36250,35700,1219558,43754407150,26279932256000,734076320,STK,기타
35,272210,KR7272210006,한화시스템,KOSPI,,131400,1,900,0.69,130900,133700,130600,649875,85565323950,24824007714600,188919389,STK,기타
36,064350,KR7064350002,현대로템,KOSPI,,221500,1,3000,1.37,219500,223000,215500,737464,162291232866,24175017899500,109142293,STK,기타
37,000150,KR7000150003,두산,KOSPI,,1409000,1,2000,0.14,1420000,1439000,1385000,71666,101014986500,22817113515000,16193835,STK,기타
38,003670,KR7003670007,포스코퓨처엠,KOSPI,,256500,1,20000,8.46,242000,257000,239000,744904,186518816250,22814705430000,88946220,STK,기타
39,096770,KR7096770003,SK이노베이션,KOSPI,,133500,1,4700,3.65,130100,135200,128900,1167957,154182885300,22568547198000,169052788,STK,기타
41,035720,KR7035720002,카카오,KOSPI,,48950,1,100,0.2,49150,49250,48500,1316511,64251497000,21684898705250,443000995,STK,기타
42,017670,KR7017670001,SK텔레콤,KOSPI,,100500,1,4000,4.15,98100,102000,97800,1087598,108845831950,21586400326500,214790053,STK,기타
44,000810,KR7000810002,삼성화재,KOSPI,,468000,2,-7500,-1.58,473500,475500,466000,138915,65162640470,20895017364000,44647473,STK,기타
45,066570,KR7066570003,LG전자,KOSPI,,126600,1,2100,1.69,125800,127000,125300,600138,75658293700,20621416594200,162886387,STK,기타
46,267250,KR7267250009,HD현대,KOSPI,,257000,1,2000,0.78,256500,258500,249000,164721,41744639250,20301222845000,78993085,STK,기타
47,079550,KR7079550000,LIG디펜스앤에어로스페이스,KOSPI,,909000,2,-12000,-1.3,918000,929000,899000,165856,151106809000,19998000000000,22000000,STK,기타
48,011200,KR7011200003,HMM,KOSPI,,21100,1,100,0.48,21050,21200,20900,821520,17303650725,19902321167000,943237970,STK,기타
49,033780,KR7033780008,KT&G,KOSPI,,173000,1,1500,0.87,170600,175200,170000,234094,40550141550,19839059585000,114676645,STK,기타
51,138040,KR7138040001,메리츠금융지주,KOSPI,,116800,1,300,0.26,116400,118100,116300,157156,18371595800,19739348686400,169001273,STK,기타
